t3,d_sensor3
1.441,746.0
1.442,731.0
1.443,710.0
1.444,689.0
1.445,667.0
1.446,646.0
1.447,624.0
1.448,607.0
1.449,591.0
1.45,577.0
1.451,563.0
1.452,547.0
1.453,531.0
1.454,511.0
1.455,492.0
1.456,473.0
1.457,455.0
1.458,440.0
1.459,428.0
1.46,418.0
1.461,413.0
1.462,413.0
1.463,415.0
1.464,419.0
1.465,425.0
1.466,432.0
1.467,438.0
1.468,443.0
1.469,447.0
1.47,448.0
1.471,446.0
1.472,445.0
1.473,442.0
1.474,440.0
1.475,438.0
1.476,438.0
1.477,439.0
1.478,441.0
1.479,447.0
1.48,454.0
1.481,462.0
1.482,468.0
1.483,475.0
1.484,481.0
1.485,486.0
1.486,487.0
1.487,486.0
1.488,483.0
1.489,480.0
1.49,475.0
1.491,472.0
1.492,469.0
1.493,465.0
1.494,462.0
1.495,462.0
1.496,463.0
1.497,465.0
1.498,471.0
1.499,476.0
1.5,482.0
1.5010000000000001,487.0
1.502,491.0
1.5030000000000001,492.0
1.504,491.0
1.5050000000000001,488.0
1.506,485.0
1.5070000000000001,480.0
1.508,474.0
1.5090000000000001,468.0
1.51,466.0
1.5110000000000001,465.0
1.512,466.0
1.5130000000000001,469.0
1.514,474.0
1.5150000000000001,479.0
1.516,486.0
1.5170000000000001,494.0
1.518,499.0
1.5190000000000001,503.0
1.52,503.0
1.5210000000000001,503.0
1.522,501.0
1.5230000000000001,496.0
1.524,490.0
1.5250000000000001,486.0
1.526,481.0
1.5270000000000001,479.0
1.528,477.0
1.5290000000000001,478.0
1.53,480.0
1.5310000000000001,486.0
1.532,492.0
1.5330000000000001,497.0
1.534,503.0
1.5350000000000001,506.0
1.536,507.0
1.537,506.0
1.538,504.0
1.539,500.0
1.54,496.0
1.541,491.0
1.542,486.0
1.543,482.0
1.544,480.0
1.545,480.0
1.546,483.0
1.547,488.0
1.548,495.0
1.549,502.0
1.55,508.0
1.551,512.0
1.552,516.0
1.553,516.0
1.554,515.0
1.555,512.0
1.556,506.0
1.557,500.0
1.558,494.0
1.559,489.0
1.56,485.0
1.561,485.0
1.562,488.0
1.563,492.0
1.564,499.0
1.565,505.0
1.566,512.0
1.567,518.0
1.568,523.0
1.569,526.0
1.57,525.0
1.571,523.0
1.572,518.0
1.573,513.0
1.574,508.0
1.575,504.0
1.576,500.0
1.577,498.0
1.578,499.0
1.579,502.0
1.58,506.0
1.581,512.0
1.582,516.0
1.583,519.0
1.584,524.0
1.585,527.0
1.586,528.0
1.587,528.0
1.588,526.0
1.589,524.0
1.59,520.0
1.591,515.0
1.592,511.0
1.593,507.0
1.594,504.0
1.595,504.0
1.596,505.0
1.597,510.0
1.598,515.0
1.599,523.0
1.6,529.0
1.601,534.0
1.602,537.0
1.603,536.0
1.604,534.0
1.605,529.0
1.606,523.0
1.607,519.0
