t5,d_sensor5
0.672,494.0
0.673,495.0
0.674,496.0
0.675,497.0
0.676,499.0
0.677,500.0
0.678,499.0
0.679,494.0
0.68,492.0
0.681,495.0
0.682,499.0
0.683,504.0
0.684,511.0
0.685,517.0
0.686,517.0
0.687,513.0
0.6880000000000001,512.0
0.6890000000000001,517.0
0.6900000000000001,515.0
0.6910000000000001,512.0
0.6920000000000001,507.0
0.6930000000000001,502.0
0.6940000000000001,499.0
0.6950000000000001,496.0
0.6960000000000001,498.0
0.6970000000000001,497.0
0.6980000000000001,496.0
0.6990000000000001,499.0
0.7000000000000001,504.0
0.7010000000000001,512.0
0.7020000000000001,523.0
0.7030000000000001,530.0
0.704,528.0
0.705,526.0
0.706,529.0
0.707,525.0
0.708,518.0
0.709,511.0
0.71,503.0
0.711,500.0
0.712,505.0
0.713,509.0
0.714,512.0
0.715,512.0
0.716,512.0
0.717,516.0
0.718,515.0
0.719,507.0
0.72,502.0
0.721,501.0
0.722,502.0
0.723,506.0
0.724,509.0
0.725,510.0
0.726,512.0
0.727,517.0
0.728,520.0
0.729,520.0
0.73,518.0
0.731,516.0
0.732,514.0
0.733,517.0
0.734,519.0
0.735,511.0
0.736,504.0
0.737,502.0
0.738,503.0
0.739,502.0
0.74,501.0
0.741,504.0
0.742,506.0
0.743,510.0
0.744,511.0
0.745,509.0
0.746,506.0
0.747,512.0
0.748,515.0
0.749,512.0
0.75,508.0
0.751,512.0
0.752,523.0
0.753,526.0
0.754,524.0
0.755,521.0
0.756,519.0
0.757,518.0
0.758,519.0
0.759,522.0
0.76,522.0
0.761,521.0
0.762,522.0
0.763,523.0
0.764,524.0
0.765,525.0
0.766,524.0
0.767,524.0
0.768,519.0
0.769,517.0
0.77,515.0
0.771,514.0
0.772,516.0
0.773,522.0
0.774,526.0
0.775,528.0
0.776,531.0
0.777,533.0
0.778,531.0
0.779,528.0
0.78,525.0
0.781,527.0
0.782,533.0
0.783,536.0
0.784,537.0
0.785,536.0
0.786,539.0
0.787,541.0
0.788,540.0
0.789,541.0
0.79,540.0
0.791,539.0
0.792,543.0
0.793,550.0
0.794,553.0
0.795,556.0
0.796,553.0
0.797,548.0
0.798,540.0
0.799,536.0
0.8,535.0
0.801,534.0
0.802,536.0
0.803,537.0
0.804,539.0
0.805,540.0
0.806,541.0
0.807,542.0
0.808,542.0
0.809,541.0
0.81,541.0
0.811,543.0
0.812,543.0
0.8130000000000001,545.0
0.8140000000000001,549.0
0.8150000000000001,547.0
0.8160000000000001,543.0
0.8170000000000001,545.0
0.8180000000000001,551.0
0.8190000000000001,553.0
0.8200000000000001,549.0
0.8210000000000001,549.0
0.8220000000000001,557.0
0.8230000000000001,564.0
0.8240000000000001,565.0
0.8250000000000001,563.0
0.8260000000000001,551.0
0.8270000000000001,543.0
0.8280000000000001,540.0
0.8290000000000001,543.0
0.8300000000000001,547.0
0.8310000000000001,550.0
0.8320000000000001,555.0
0.833,556.0
0.834,552.0
0.835,548.0
0.836,545.0
0.837,542.0
0.838,546.0
0.839,556.0
0.84,562.0
0.841,564.0
0.842,564.0
0.843,563.0
0.844,566.0
0.845,567.0
0.846,563.0
0.847,559.0
0.848,560.0
0.849,560.0
0.85,555.0
0.851,557.0
0.852,561.0
0.853,561.0
0.854,561.0
0.855,560.0
0.856,556.0
0.857,559.0
0.858,564.0
0.859,571.0
0.86,570.0
0.861,566.0
0.862,562.0
0.863,559.0
0.864,560.0
0.865,562.0
0.866,560.0
0.867,558.0
0.868,554.0
0.869,549.0
0.87,542.0
0.871,536.0
0.872,533.0
0.873,534.0
0.874,536.0
0.875,533.0
0.876,527.0
0.877,521.0
0.878,520.0
0.879,524.0
0.88,524.0
0.881,522.0
0.882,519.0
0.883,517.0
0.884,515.0
0.885,513.0
0.886,512.0
0.887,510.0
0.888,508.0
0.889,503.0
0.89,493.0
0.891,490.0
0.892,492.0
0.893,490.0
0.894,485.0
0.895,482.0
0.896,480.0
0.897,478.0
0.898,476.0
0.899,475.0
0.9,474.0
0.901,473.0
0.902,473.0
0.903,473.0
0.904,471.0
0.905,469.0
0.906,468.0
0.907,470.0
0.908,471.0
0.909,470.0
0.91,466.0
0.911,462.0
0.912,460.0
0.913,460.0
0.914,461.0
0.915,464.0
0.916,468.0
0.917,469.0
0.918,469.0
0.919,470.0
0.92,469.0
0.921,461.0
0.922,454.0
0.923,454.0
0.924,455.0
0.925,457.0
0.926,461.0
0.927,463.0
0.928,463.0
0.929,462.0
0.93,461.0
0.931,465.0
0.932,467.0
0.933,466.0
0.934,460.0
0.935,447.0
0.936,442.0
0.937,449.0
0.9380000000000001,452.0
0.9390000000000001,457.0
0.9400000000000001,464.0
0.9410000000000001,461.0
0.9420000000000001,451.0
0.9430000000000001,444.0
0.9440000000000001,444.0
0.9450000000000001,443.0
0.9460000000000001,444.0
0.9470000000000001,448.0
0.9480000000000001,450.0
0.9490000000000001,451.0
0.9500000000000001,455.0
0.9510000000000001,460.0
0.9520000000000001,463.0
0.9530000000000001,465.0
0.9540000000000001,466.0
0.9550000000000001,466.0
0.9560000000000001,465.0
0.9570000000000001,464.0
0.9580000000000001,465.0
0.9590000000000001,466.0
0.96,464.0
0.961,462.0
0.962,461.0
0.963,462.0
0.964,463.0
0.965,465.0
0.966,467.0
0.967,473.0
0.968,477.0
0.969,476.0
0.97,467.0
0.971,467.0
0.972,472.0
0.973,475.0
0.974,474.0
0.975,470.0
0.976,468.0
0.977,470.0
0.978,475.0
0.979,477.0
0.98,474.0
0.981,472.0
0.982,471.0
0.983,469.0
0.984,470.0
0.985,472.0
0.986,474.0
0.987,474.0
0.988,476.0
0.989,478.0
0.99,479.0
0.991,479.0
0.992,477.0
0.993,477.0
0.994,479.0
0.995,483.0
0.996,485.0
0.997,486.0
0.998,487.0
0.999,489.0
1.0,489.0
1.0010000000000001,488.0
1.002,487.0
1.0030000000000001,487.0
1.004,486.0
1.0050000000000001,486.0
1.006,487.0
1.0070000000000001,488.0
1.008,489.0
1.0090000000000001,489.0
1.01,492.0
1.0110000000000001,489.0
1.012,487.0
1.0130000000000001,486.0
1.014,488.0
1.0150000000000001,491.0
1.016,492.0
1.0170000000000001,488.0
1.018,487.0
1.0190000000000001,489.0
1.02,488.0
1.0210000000000001,494.0
1.022,499.0
1.0230000000000001,502.0
1.024,497.0
1.025,489.0
1.026,489.0
1.027,490.0
1.028,492.0
1.029,492.0
1.03,496.0
1.031,497.0
1.032,495.0
1.033,491.0
1.034,487.0
1.035,486.0
1.036,492.0
1.037,504.0
1.038,504.0
1.039,498.0
1.04,496.0
1.041,494.0
1.042,497.0
1.043,504.0
1.044,506.0
1.045,503.0
1.046,497.0
1.047,496.0
1.048,497.0
1.049,502.0
1.05,502.0
1.051,497.0
1.052,495.0
1.053,493.0
1.054,491.0
1.055,483.0
1.056,481.0
1.057,482.0
1.058,485.0
1.059,484.0
1.06,481.0
1.061,483.0
1.062,485.0
1.063,486.0
1.064,492.0
1.065,499.0
1.066,497.0
1.067,492.0
1.068,491.0
1.069,493.0
1.07,489.0
1.071,489.0
1.072,492.0
1.073,487.0
1.074,486.0
1.075,486.0
1.076,491.0
1.077,496.0
1.078,496.0
1.079,502.0
1.08,508.0
1.081,510.0
1.082,509.0
1.083,508.0
1.084,504.0
1.085,504.0
1.086,505.0
1.087,505.0
1.088,503.0
1.089,501.0
1.09,500.0
1.091,502.0
1.092,505.0
1.093,505.0
1.094,504.0
1.095,498.0
1.096,494.0
1.097,496.0
1.098,504.0
1.099,512.0
1.1,514.0
1.101,511.0
1.102,509.0
1.103,508.0
1.104,511.0
1.105,516.0
1.106,520.0
1.107,516.0
1.108,515.0
1.109,511.0
1.11,507.0
1.111,507.0
1.112,510.0
1.113,513.0
1.114,520.0
1.115,526.0
1.116,527.0
1.117,520.0
1.118,515.0
1.119,516.0
1.12,513.0
1.121,511.0
1.122,510.0
1.123,512.0
1.124,515.0
1.125,520.0
1.1260000000000001,517.0
1.127,514.0
1.1280000000000001,513.0
1.129,512.0
1.1300000000000001,510.0
1.131,502.0
1.1320000000000001,496.0
1.133,502.0
1.1340000000000001,517.0
1.135,525.0
1.1360000000000001,527.0
1.137,521.0
1.1380000000000001,515.0
1.139,510.0
1.1400000000000001,506.0
1.141,505.0
1.1420000000000001,503.0
1.143,503.0
1.1440000000000001,503.0
1.145,504.0
1.1460000000000001,504.0
1.147,506.0
1.1480000000000001,510.0
1.149,511.0
1.1500000000000001,512.0
1.151,512.0
1.1520000000000001,512.0
1.153,513.0
1.154,511.0
1.155,507.0
1.156,504.0
1.157,505.0
1.158,503.0
1.159,502.0
1.16,502.0
1.161,506.0
1.162,511.0
1.163,508.0
1.164,504.0
1.165,503.0
1.166,505.0
1.167,506.0
1.168,507.0
1.169,508.0
1.17,505.0
1.171,504.0
1.172,505.0
1.173,505.0
1.174,503.0
1.175,501.0
1.176,496.0
1.177,497.0
1.178,498.0
1.179,501.0
1.18,508.0
1.181,511.0
1.182,512.0
1.183,515.0
1.184,516.0
1.185,513.0
1.186,512.0
1.187,513.0
1.188,515.0
1.189,518.0
1.19,518.0
1.191,518.0
1.192,519.0
1.193,518.0
1.194,514.0
1.195,511.0
1.196,508.0
1.197,507.0
1.198,506.0
1.199,509.0
1.2,512.0
1.201,514.0
1.202,518.0
1.203,519.0
1.204,523.0
1.205,526.0
1.206,528.0
1.207,525.0
1.208,523.0
1.209,516.0
1.21,508.0
1.211,514.0
1.212,525.0
1.213,530.0
1.214,526.0
1.215,517.0
1.216,512.0
1.217,510.0
1.218,510.0
1.219,519.0
1.22,534.0
1.221,536.0
1.222,531.0
1.223,521.0
1.224,517.0
1.225,515.0
1.226,511.0
1.227,508.0
1.228,502.0
1.229,503.0
1.23,513.0
1.231,527.0
1.232,530.0
1.233,526.0
1.234,521.0
1.235,524.0
1.236,523.0
1.237,524.0
1.238,525.0
1.239,524.0
1.24,520.0
1.241,520.0
1.242,522.0
1.243,524.0
1.244,527.0
1.245,523.0
1.246,524.0
1.247,525.0
1.248,525.0
1.249,521.0
1.25,517.0
1.2510000000000001,515.0
1.252,514.0
1.2530000000000001,511.0
1.254,503.0
1.2550000000000001,502.0
1.256,507.0
1.2570000000000001,510.0
1.258,509.0
1.2590000000000001,512.0
1.26,509.0
1.2610000000000001,509.0
1.262,512.0
1.2630000000000001,514.0
1.264,512.0
1.2650000000000001,512.0
1.266,513.0
1.2670000000000001,513.0
1.268,514.0
1.2690000000000001,513.0
1.27,512.0
1.2710000000000001,514.0
1.272,518.0
1.2730000000000001,518.0
1.274,516.0
1.2750000000000001,515.0
1.276,514.0
1.2770000000000001,510.0
1.278,511.0
1.2790000000000001,514.0
1.28,516.0
1.281,513.0
1.282,509.0
1.283,512.0
1.284,516.0
1.285,518.0
1.286,517.0
1.287,514.0
1.288,512.0
1.289,514.0
1.29,517.0
1.291,517.0
1.292,515.0
1.293,515.0
1.294,515.0
1.295,515.0
1.296,518.0
1.297,517.0
1.298,519.0
1.299,519.0
1.3,515.0
1.301,508.0
1.302,504.0
1.303,503.0
1.304,499.0
1.305,499.0
1.306,508.0
1.307,516.0
1.308,519.0
1.309,517.0
1.31,518.0
1.311,516.0
1.312,519.0
1.313,522.0
1.314,522.0
1.315,526.0
1.316,525.0
1.317,519.0
1.318,516.0
1.319,515.0
1.32,517.0
1.321,518.0
1.322,516.0
1.323,514.0
1.324,510.0
1.325,515.0
1.326,520.0
1.327,520.0
1.328,521.0
1.329,525.0
1.33,527.0
1.331,523.0
1.332,522.0
1.333,523.0
1.334,525.0
1.335,527.0
1.336,532.0
1.337,537.0
1.338,541.0
1.339,543.0
1.34,538.0
1.341,528.0
1.342,522.0
1.343,526.0
1.344,532.0
1.345,532.0
1.346,531.0
1.347,528.0
1.348,527.0
1.349,526.0
1.35,524.0
1.351,522.0
1.352,522.0
1.353,523.0
1.354,524.0
1.355,524.0
1.356,522.0
1.357,521.0
1.358,523.0
1.359,529.0
1.36,533.0
1.361,534.0
1.362,531.0
1.363,531.0
1.364,531.0
1.365,527.0
1.366,523.0
1.367,524.0
1.368,534.0
1.369,542.0
1.37,545.0
1.371,539.0
1.372,532.0
1.373,531.0
1.374,533.0
1.375,535.0
1.3760000000000001,535.0
1.377,540.0
1.3780000000000001,546.0
1.379,554.0
1.3800000000000001,558.0
1.381,551.0
1.3820000000000001,535.0
1.383,525.0
1.3840000000000001,518.0
1.385,516.0
1.3860000000000001,512.0
1.387,512.0
1.3880000000000001,512.0
1.389,511.0
1.3900000000000001,510.0
1.391,510.0
1.3920000000000001,512.0
1.393,513.0
1.3940000000000001,519.0
1.395,520.0
1.3960000000000001,518.0
1.397,519.0
1.3980000000000001,521.0
1.399,521.0
1.4000000000000001,517.0
1.401,515.0
1.4020000000000001,510.0
1.403,504.0
1.4040000000000001,504.0
1.405,505.0
1.4060000000000001,504.0
1.407,505.0
1.408,509.0
1.409,515.0
1.41,512.0
1.411,510.0
1.412,512.0
1.413,510.0
1.414,501.0
1.415,498.0
1.416,497.0
1.417,497.0
1.418,501.0
1.419,511.0
1.42,520.0
1.421,522.0
1.422,524.0
1.423,525.0
1.424,515.0
1.425,500.0
1.426,494.0
1.427,495.0
1.428,499.0
1.429,505.0
1.43,511.0
1.431,512.0
1.432,512.0
1.433,515.0
1.434,517.0
1.435,516.0
1.436,518.0
1.437,521.0
1.438,519.0
1.439,516.0
1.44,515.0
1.441,516.0
1.442,515.0
1.443,512.0
1.444,511.0
1.445,514.0
1.446,516.0
1.447,515.0
